         46737219 function calls (46211385 primitive calls) in 631.357 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      301    0.000    0.000    0.000    0.000 <string>:2(_parse_args)
        1    0.000    0.000    0.000    0.000 <string>:227(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:233(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:251(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:26(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:263(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:293(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:370(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:375(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 <string>:5(ACGANModel)
        1    0.000    0.000    0.000    0.000 <string>:5(AllCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(AllReduceSpecTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(AllocationMaximum)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(AttentionWrapperState)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(BarrierTakeMany)
        1    0.000    0.000    0.000    0.000 <string>:5(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BasicDecoderOutput)
        1    0.000    0.000    0.000    0.000 <string>:5(Batch)
        1    0.000    0.000    0.000    0.000 <string>:5(BatchNormWithGlobalNormalizationGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(BatchSelfAdjointEigV2)
        1    0.000    0.000    0.000    0.000 <string>:5(BatchSvd)
        1    0.000    0.000    0.000    0.000 <string>:5(BeamSearchDecoderOutput)
        1    0.000    0.000    0.000    0.000 <string>:5(BeamSearchDecoderState)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatistic2dResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BinnedStatisticddResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BipartiteMatch)
        1    0.000    0.000    0.000    0.000 <string>:5(BlockLSTM)
        1    0.000    0.000    0.000    0.000 <string>:5(BlockLSTMGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(BoostedTreesCalculateBestGainsPerFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(BoostedTreesGetEnsembleStates)
        1    0.000    0.000    0.000    0.000 <string>:5(BoostedTreesSerializeEnsemble)
        1    0.000    0.000    0.000    0.000 <string>:5(BoostedTreesTrainingPredict)
        1    0.000    0.000    0.000    0.000 <string>:5(Box)
        1    0.000    0.000    0.000    0.000 <string>:5(Boxplot)
        1    0.000    0.000    0.000    0.000 <string>:5(BroadcastGradientArgs)
        1    0.000    0.000    0.000    0.000 <string>:5(BrunnerMunzelResult)
        1    0.000    0.000    0.000    0.000 <string>:5(BucketizedColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(CTCBeamSearchDecoder)
        1    0.000    0.000    0.000    0.000 <string>:5(CTCGreedyDecoder)
        1    0.000    0.000    0.000    0.000 <string>:5(CTCLoss)
        1    0.000    0.000    0.000    0.000 <string>:5(CharMetrics)
        1    0.000    0.000    0.000    0.000 <string>:5(CheckpointableReference)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(Components)
        1    0.000    0.000    0.000    0.000 <string>:5(CompositePart)
        1    0.000    0.000    0.000    0.000 <string>:5(ComputeAccidentalHits)
        1    0.000    0.000    0.000    0.000 <string>:5(ContextSwitch)
        1    0.000    0.000    0.000    0.000 <string>:5(ConversionOptions)
        1    0.000    0.000    0.000    0.000 <string>:5(CrossedColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(CudnnRNN)
        1    0.000    0.000    0.000    0.000 <string>:5(CudnnRNNBackprop)
        1    0.000    0.000    0.000    0.000 <string>:5(CudnnRNNBackpropV2)
        1    0.000    0.000    0.000    0.000 <string>:5(CudnnRNNParamsToCanonical)
        1    0.000    0.000    0.000    0.000 <string>:5(CudnnRNNV2)
        1    0.000    0.000    0.000    0.000 <string>:5(CumfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:5(CycleGANLoss)
        1    0.000    0.000    0.000    0.000 <string>:5(CycleGANModel)
        1    0.000    0.000    0.000    0.000 <string>:5(DataFrameColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(Dataset)
        1    0.000    0.000    0.000    0.000 <string>:5(Datasets)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DecodeProtoV2)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DenseToDenseSetOperation)
        1    0.000    0.000    0.000    0.000 <string>:5(DenseToSparseSetOperation)
        1    0.000    0.000    0.000    0.000 <string>:5(DeprecatedArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(DeprecatedOption)
        1    0.000    0.000    0.000    0.000 <string>:5(DescribeResult)
        1    0.000    0.000    0.000    0.000 <string>:5(DeserializeManySparse)
        1    0.000    0.000    0.000    0.000 <string>:5(DeserializeSparse)
        1    0.000    0.000    0.000    0.000 <string>:5(DistributeConfig)
        1    0.000    0.000    0.000    0.000 <string>:5(DistributedVarOp)
        1    0.000    0.000    0.000    0.000 <string>:5(DoneAndNotDoneFutures)
        1    0.000    0.000    0.000    0.000 <string>:5(EmbeddingColumn)
        1    0.000    0.000    0.000    0.000 <string>:5(EstimatorSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(EvalResult)
        1    0.000    0.000    0.000    0.000 <string>:5(EvalSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(ExportStrategy)
        1    0.000    0.000    0.000    0.000 <string>:5(ExportedApiAttributes)
        1    0.000    0.000    0.000    0.000 <string>:5(ExtType)
        1    0.000    0.000    0.000    0.000 <string>:5(F_onewayResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FakeQuantWithMinMaxVarsGradient)
        1    0.000    0.000    0.000    0.000 <string>:5(FakeQuantWithMinMaxVarsPerChannelGradient)
        1    0.000    0.000    0.000    0.000 <string>:5(FinalBeamDecoderOutput)
        1    0.000    0.000    0.000    0.000 <string>:5(FixedLenFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(FixedLenSequenceFeature)
        1    0.000    0.000    0.000    0.000 <string>:5(FixedUnigramCandidateSampler)
        1    0.000    0.000    0.000    0.000 <string>:5(FlignerResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Font)
        1    0.000    0.000    0.000    0.000 <string>:5(FractionalAvgPool)
        1    0.000    0.000    0.000    0.000 <string>:5(FractionalMaxPool)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FriedmanchisquareResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(FunctionInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNorm)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNormGrad)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNormGradV2)
        1    0.000    0.000    0.000    0.000 <string>:5(FusedBatchNormV2)
        1    0.000    0.000    0.000    0.000 <string>:5(GANLoss)
        1    0.000    0.000    0.000    0.000 <string>:5(GANModel)
        1    0.000    0.000    0.000    0.000 <string>:5(GANTrainOps)
        1    0.000    0.000    0.000    0.000 <string>:5(GANTrainSteps)
        1    0.000    0.000    0.000    0.000 <string>:5(GRUBlockCell)
